PRISM Time Series Data
Location:  Lat: 36.1954   Lon: -112.0374   Elev: 2168m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 4km
Period: 1997-01 - 2020-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-May-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
1997-01,128.38,-5.3,-0.3,4.7
1997-02,49.36,-6.3,0.4,7.2
1997-03,6.80,-2.4,5.5,13.5
1997-04,36.14,-0.3,6.6,13.5
1997-05,6.59,6.3,14.7,23.1
1997-06,30.43,9.3,17.4,25.5
1997-07,38.63,10.7,19.7,28.6
1997-08,75.28,12.0,19.2,26.4
1997-09,91.20,9.2,15.1,21.1
1997-10,36.45,2.0,8.9,15.8
1997-11,26.73,-2.1,4.3,10.8
1997-12,48.92,-7.0,-1.3,4.4
1998-01,45.60,-4.9,1.0,6.9
1998-02,139.21,-6.9,-1.4,4.0
1998-03,98.76,-4.1,2.6,9.2
1998-04,46.78,-2.4,4.7,11.7
1998-05,28.37,3.6,10.8,18.0
1998-06,2.30,7.1,15.5,24.0
1998-07,64.78,12.5,20.8,29.2
1998-08,24.94,12.4,20.0,27.6
1998-09,96.25,9.4,15.8,22.2
1998-10,85.64,1.3,8.3,15.4
1998-11,34.63,-2.1,4.2,10.5
1998-12,11.79,-6.8,0.0,6.8
1999-01,19.82,-3.4,2.6,8.7
1999-02,27.80,-4.1,2.6,9.3
1999-03,11.72,-1.9,5.9,13.7
1999-04,79.60,-1.8,5.1,12.0
1999-05,30.71,3.3,11.5,19.7
1999-06,22.64,8.7,17.2,25.6
1999-07,87.62,12.0,19.3,26.6
1999-08,113.13,10.5,18.1,25.6
1999-09,36.39,7.4,15.0,22.6
1999-10,0.12,2.8,11.7,20.6
1999-11,0.00,-0.5,7.6,15.7
1999-12,8.18,-6.8,0.1,7.0
2000-01,50.54,-4.3,1.6,7.5
2000-02,71.12,-3.7,2.0,7.7
2000-03,99.61,-3.8,2.9,9.7
2000-04,11.49,2.1,10.1,18.1
2000-05,0.88,6.8,15.5,24.2
2000-06,15.55,10.7,19.3,28.0
2000-07,11.48,13.3,21.6,30.0
2000-08,62.41,12.1,20.1,28.1
2000-09,11.02,8.5,16.7,24.9
2000-10,109.48,2.5,9.1,15.8
2000-11,22.49,-6.5,0.1,6.8
2000-12,13.19,-4.8,2.0,8.7
2001-01,63.49,-7.0,-1.0,5.0
2001-02,46.84,-5.9,0.2,6.4
2001-03,76.82,-3.3,3.9,11.1
2001-04,34.57,-0.5,7.0,14.5
2001-05,4.17,6.9,15.2,23.5
2001-06,6.80,9.8,19.0,28.3
2001-07,44.80,12.1,20.2,28.3
2001-08,58.00,11.2,19.3,27.4
2001-09,7.82,8.5,17.3,26.1
2001-10,10.47,3.4,11.7,20.0
2001-11,35.47,-2.6,4.6,11.8
2001-12,35.93,-7.6,-1.3,5.0
2002-01,5.63,-7.1,-0.3,6.6
2002-02,3.98,-6.5,1.4,9.4
2002-03,33.73,-5.4,2.5,10.3
2002-04,3.15,1.1,9.8,18.6
2002-05,0.00,3.7,13.2,22.6
2002-06,0.00,10.9,20.4,30.0
2002-07,47.17,13.6,22.4,31.1
2002-08,13.24,12.1,20.8,29.4
2002-09,55.75,8.0,15.6,23.2
2002-10,28.26,1.8,8.7,15.6
2002-11,54.69,-2.6,4.3,11.3
2002-12,49.06,-7.3,-1.2,4.9
2003-01,20.96,-3.1,3.8,10.6
2003-02,96.59,-5.0,0.9,6.8
2003-03,82.75,-4.0,3.1,10.1
2003-04,21.30,-1.1,5.9,12.9
2003-05,8.32,6.2,14.0,21.8
2003-06,0.00,10.5,19.4,28.2
2003-07,23.17,15.0,23.6,32.2
2003-08,74.34,12.9,20.3,27.7
2003-09,10.08,9.8,17.9,26.0
2003-10,18.37,6.3,13.9,21.6
2003-11,51.25,-2.9,2.3,7.5
2003-12,20.97,-5.2,0.7,6.6
2004-01,40.93,-6.4,-0.6,5.1
2004-02,68.41,-7.1,-1.7,3.6
2004-03,9.69,0.5,7.5,14.5
2004-04,46.01,0.8,7.9,15.0
2004-05,0.00,5.7,14.1,22.4
2004-06,4.22,10.6,19.5,28.3
2004-07,35.25,11.9,20.9,30.0
2004-08,78.59,11.5,19.5,27.4
2004-09,99.58,7.1,15.5,23.8
2004-10,126.54,2.3,8.3,14.3
2004-11,51.84,-3.2,2.6,8.3
2004-12,74.81,-5.4,0.6,6.6
2005-01,241.13,-2.8,1.3,5.4
2005-02,153.11,-3.3,0.9,5.2
2005-03,64.31,-2.7,2.8,8.3
2005-04,64.71,-0.5,6.4,13.4
2005-05,17.35,5.5,13.4,21.4
2005-06,20.13,8.0,16.5,25.0
2005-07,25.93,13.4,22.6,31.8
2005-08,70.92,11.7,18.7,25.7
2005-09,18.61,8.4,16.5,24.5
2005-10,33.85,3.3,10.4,17.6
2005-11,4.41,-0.7,5.6,11.9
2005-12,1.46,-5.5,1.2,7.9
2006-01,13.46,-5.5,0.2,5.9
2006-02,2.29,-4.7,2.2,9.1
2006-03,142.53,-3.2,2.0,7.3
2006-04,19.54,1.1,8.7,16.4
2006-05,0.12,6.1,15.2,24.3
2006-06,17.90,11.0,20.3,29.6
2006-07,49.97,13.0,21.3,29.6
2006-08,50.27,10.1,18.4,26.7
2006-09,24.67,6.1,13.7,21.4
2006-10,81.14,2.6,9.0,15.4
2006-11,9.90,-1.4,5.7,12.7
2006-12,23.78,-6.2,0.2,6.5
2007-01,13.58,-7.9,-2.1,3.6
2007-02,26.34,-4.5,2.0,8.6
2007-03,24.92,-1.6,5.7,13.0
2007-04,13.48,0.9,8.7,16.5
2007-05,18.82,5.4,13.9,22.3
2007-06,0.00,9.9,19.4,28.8
2007-07,39.52,14.1,22.3,30.5
2007-08,62.83,13.0,20.5,27.9
2007-09,30.29,9.2,17.1,24.9
2007-10,21.10,2.4,10.2,18.0
2007-11,0.00,0.2,7.7,15.2
2007-12,112.69,-8.3,-2.4,3.4
2008-01,174.98,-8.8,-3.2,2.4
2008-02,93.53,-6.4,0.3,6.9
2008-03,3.84,-3.2,4.4,12.0
2008-04,0.00,-1.5,7.4,16.2
2008-05,13.32,2.3,10.8,19.2
2008-06,8.32,9.0,18.5,28.0
2008-07,45.35,13.3,21.0,28.7
2008-08,78.34,13.0,20.6,28.3
2008-09,18.31,8.1,16.1,24.2
2008-10,8.41,2.9,10.6,18.4
2008-11,22.03,0.3,6.3,12.4
2008-12,99.29,-6.1,-0.5,5.1
2009-01,43.04,-4.9,1.1,7.2
2009-02,54.65,-4.7,1.5,7.8
2009-03,5.17,-2.9,4.5,11.9
2009-04,11.41,-0.6,6.9,14.3
2009-05,30.58,7.7,15.7,23.7
2009-06,20.99,7.8,15.8,23.9
2009-07,15.27,13.9,22.4,30.9
2009-08,25.45,10.9,20.1,29.3
2009-09,19.78,9.1,16.6,24.1
2009-10,8.72,0.9,8.4,16.0
2009-11,9.23,-0.9,6.2,13.2
2009-12,74.02,-8.7,-2.2,4.3
2010-01,150.36,-6.6,-0.3,5.9
2010-02,67.32,-5.9,0.3,6.4
2010-03,48.25,-4.1,2.8,9.8
2010-04,5.22,-0.7,6.8,14.2
2010-05,3.92,1.6,9.9,18.1
2010-06,8.29,9.7,18.3,26.9
2010-07,44.65,13.4,21.3,29.2
2010-08,40.30,11.9,19.1,26.2
2010-09,5.39,9.6,18.0,26.3
2010-10,104.68,4.0,10.3,16.7
2010-11,24.03,-3.5,2.8,9.1
2010-12,90.76,-3.0,2.5,8.0
2011-01,0.00,-6.4,-0.6,5.2
2011-02,40.53,-7.6,-1.2,5.2
2011-03,37.13,-2.4,3.9,10.1
2011-04,26.26,-0.3,7.5,15.3
2011-05,11.44,2.6,10.2,17.8
2011-06,0.00,8.6,17.9,27.1
2011-07,27.60,13.0,20.6,28.1
2011-08,19.40,13.8,21.5,29.2
2011-09,67.49,8.4,15.8,23.2
2011-10,36.53,2.9,10.4,18.0
2011-11,31.45,-2.7,3.5,9.7
2011-12,34.30,-6.4,-0.7,5.0
2012-01,29.98,-4.2,1.4,7.0
2012-02,31.45,-5.7,-0.3,5.1
2012-03,41.65,-2.8,4.3,11.3
2012-04,11.89,1.8,9.1,16.3
2012-05,0.00,6.2,14.5,22.8
2012-06,0.00,10.7,19.9,29.1
2012-07,69.01,13.1,20.2,27.3
2012-08,67.76,13.0,20.2,27.4
2012-09,34.06,9.0,16.1,23.2
2012-10,17.66,3.9,11.2,18.6
2012-11,1.19,-1.2,5.9,13.0
2012-12,87.53,-6.3,-1.3,3.8
2013-01,76.21,-8.4,-2.5,3.3
2013-02,32.81,-8.2,-1.1,6.0
2013-03,27.91,-1.6,5.5,12.5
2013-04,9.01,0.3,8.1,15.8
2013-05,0.81,5.1,13.0,20.9
2013-06,0.21,12.1,20.6,29.1
2013-07,113.46,13.9,20.8,27.6
2013-08,94.24,11.9,18.6,25.3
2013-09,70.22,8.5,14.8,21.2
2013-10,6.64,1.0,7.8,14.5
2013-11,38.91,-2.0,3.8,9.5
2013-12,26.00,-7.0,-1.1,4.8
2014-01,0.00,-2.8,2.8,8.3
2014-02,27.91,-3.1,2.6,8.2
2014-03,22.92,-2.1,4.7,11.4
2014-04,22.75,0.1,7.5,14.8
2014-05,9.15,5.6,12.8,20.1
2014-06,0.00,11.3,19.4,27.6
2014-07,46.49,14.6,22.0,29.5
2014-08,79.20,11.4,18.0,24.5
2014-09,68.83,9.7,16.8,23.8
2014-10,0.00,4.4,11.6,18.9
2014-11,4.25,-0.8,5.0,10.9
2014-12,54.47,-4.4,0.3,4.9
2015-01,46.91,-3.2,1.6,6.4
2015-02,48.43,-1.4,4.7,10.9
2015-03,64.43,-0.6,6.4,13.4
2015-04,16.04,0.1,7.6,15.1
2015-05,44.92,4.0,10.2,16.4
2015-06,49.74,11.0,19.3,27.6
2015-07,47.66,12.2,19.7,27.2
2015-08,89.60,13.2,19.9,26.6
2015-09,30.87,9.9,17.1,24.3
2015-10,96.51,6.1,11.6,17.2
2015-11,37.58,-3.3,2.6,8.5
2015-12,22.86,-6.5,-0.9,4.7
2016-01,76.24,-6.5,-0.7,5.0
2016-02,34.54,-3.9,3.6,11.0
2016-03,8.45,-0.6,6.0,12.6
2016-04,31.06,1.1,7.7,14.4
2016-05,31.17,3.8,10.8,17.8
2016-06,5.59,11.7,20.7,29.7
2016-07,29.17,13.6,21.6,29.7
2016-08,107.19,12.1,18.8,25.4
2016-09,77.29,10.0,15.7,21.4
2016-10,18.56,6.2,12.3,18.3
2016-11,42.85,-0.8,5.1,10.9
2016-12,85.73,-5.1,0.1,5.3
2017-01,192.85,-5.5,-2.0,1.4
2017-02,68.41,-2.1,2.3,6.8
2017-03,47.19,-1.0,6.1,13.1
2017-04,12.02,1.2,8.5,15.9
2017-05,20.95,5.1,12.2,19.3
2017-06,1.58,13.6,21.3,29.0
2017-07,74.52,14.6,21.7,28.9
2017-08,31.66,12.2,19.5,26.8
2017-09,27.81,7.7,15.1,22.6
2017-10,0.00,3.7,11.4,19.1
2017-11,3.25,2.2,8.2,14.1
2017-12,0.00,-2.4,3.7,9.9
2018-01,35.98,-2.8,2.8,8.5
2018-02,45.61,-4.6,1.6,7.9
2018-03,38.85,-2.7,3.2,9.2
2018-04,5.12,2.7,10.3,17.9
2018-05,7.96,6.3,13.9,21.5
2018-06,3.25,12.7,21.0,29.3
2018-07,58.48,14.7,22.1,29.5
2018-08,88.21,14.5,21.1,27.8
2018-09,15.28,10.7,18.1,25.5
2018-10,120.93,3.1,8.2,13.2
2018-11,18.96,-3.1,3.3,9.6
2018-12,18.30,-5.8,0.4,6.7
2019-01,71.66,-6.1,-1.0,4.1
2019-02,168.39,-7.7,-2.8,2.1
2019-03,75.28,-2.0,3.7,9.4
2019-04,11.18,1.3,8.3,15.3
2019-05,87.25,2.1,8.2,14.3
2019-06,4.46,8.2,16.8,25.5
2019-07,15.30,12.5,20.8,29.1
2019-08,22.77,13.3,21.0,28.7
2019-09,1.98,9.3,16.9,24.5
2019-10,0.00,0.6,8.5,16.4
2019-11,104.52,-2.0,4.9,11.7
2019-12,63.63,-6.1,-1.2,3.7
2020-01,17.12,-5.7,0.0,5.7
2020-02,16.80,-5.3,1.2,7.6
2020-03,122.99,-1.7,3.5,8.6
2020-04,16.77,1.1,8.2,15.3
2020-05,4.69,6.7,15.0,23.3
2020-06,0.00,9.9,18.6,27.2
2020-07,21.42,13.7,21.7,29.6
2020-08,9.06,14.9,23.2,31.4
2020-09,0.57,9.1,17.5,25.9
2020-10,1.52,4.9,13.0,21.1
2020-11,21.16,0.3,6.0,11.7
2020-12,12.66,-6.0,-0.4,5.2
