PRISM Time Series Data
Locations: 16
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1987-01-01 - 1987-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Sep-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-01,0.00,-0.9,8.0,16.8,-7.3,2.52,15.83
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-02,0.00,0.9,9.4,18.0,-5.5,2.90,16.75
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-03,0.00,0.3,8.7,17.1,-8.5,2.67,16.75
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-04,0.00,1.3,10.3,19.2,-10.7,4.10,20.19
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-05,4.55,1.9,10.9,20.0,-4.1,1.04,19.79
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-06,1.67,2.5,6.6,10.8,2.0,0.64,5.88
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-07,0.00,-0.1,6.4,13.0,1.0,0.32,8.53
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-08,0.00,-1.5,5.9,13.3,0.1,0.18,9.36
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-09,0.00,-1.2,4.5,10.3,-2.1,0.66,7.21
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-10,0.00,-3.5,3.1,9.7,-8.2,1.53,8.37
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-11,0.00,-1.8,6.9,15.6,-8.4,2.33,14.33
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-12,0.00,1.2,8.3,15.4,-9.5,4.16,14.45
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-13,0.00,-0.2,9.1,18.4,-7.2,2.97,17.70
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-14,0.00,0.5,9.9,19.3,-6.6,2.81,18.87
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-15,0.00,3.5,10.3,17.2,-5.3,3.52,15.46
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-16,5.88,1.5,7.8,14.1,-3.1,1.60,11.73
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-17,2.57,-7.8,-2.4,3.0,-6.7,0.20,3.79
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-18,0.00,-8.6,-3.2,2.2,-10.4,0.64,4.19
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-19,0.00,-8.3,-0.9,6.4,-9.9,0.82,6.73
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-20,0.60,-5.9,1.8,9.6,-6.1,0.62,8.47
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-21,0.63,-4.2,1.4,7.0,-8.3,1.34,6.36
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-22,0.00,-3.6,3.5,10.6,-9.6,2.19,9.64
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-23,0.00,-0.8,7.6,15.9,-8.7,3.05,15.24
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-24,0.00,1.4,9.1,16.9,-7.3,3.40,15.94
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-25,0.00,1.8,8.8,15.9,-5.2,3.22,13.96
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-26,0.00,-0.2,9.6,19.5,-2.9,1.72,17.57
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-27,0.00,-0.2,11.8,23.9,-5.8,1.86,25.90
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-28,0.00,2.2,13.6,25.1,-3.6,3.40,27.77
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-29,0.00,4.0,12.3,20.5,-2.0,3.10,18.51
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-30,0.00,3.3,12.6,21.9,-2.7,2.48,21.81
AtascosaHigh,-111.1600,31.4800,1353.0,1987-01-31,5.76,4.3,13.4,22.5,-0.2,1.16,22.25
AtascosaHigh,-111.1600,31.4800,1353.0,1987-02-01,0.00,2.4,5.9,9.4,1.9,0.27,4.49
AtascosaHigh,-111.1600,31.4800,1353.0,1987-02-02,0.00,-0.6,8.2,17.0,-1.4,0.77,13.42
AtascosaHigh,-111.1600,31.4800,1353.0,1987-02-03,0.00,0.1,11.4,22.6,-1.3,1.33,22.17
AtascosaHigh,-111.1600,31.4800,1353.0,1987-02-04,0.00,4.5,12.3,20.1,-0.1,2.12,17.87
AtascosaHigh,-111.1600,31.4800,1353.0,1987-02-05,0.00,4.5,9.6,14.7,0.5,1.62,10.28
