PRISM Time Series Data
Locations: 16
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 1991-01-01 - 1991-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2022-Sep-08
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-01,3.87,1.8,9.4,17.0,-0.1,1.34,12.56
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-02,0.00,2.7,10.3,17.9,-1.5,2.08,15.22
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-03,0.57,3.5,11.0,18.6,-1.1,2.68,16.08
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-04,4.49,8.4,11.9,15.4,2.3,3.70,11.00
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-05,8.80,8.3,11.0,13.8,6.7,0.91,6.39
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-06,12.03,7.2,9.8,12.4,7.0,0.52,3.92
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-07,0.00,3.5,8.8,14.1,5.5,0.23,6.52
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-08,0.00,0.4,7.7,15.1,2.7,0.15,9.72
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-09,0.00,1.7,8.2,14.6,1.5,0.64,9.50
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-10,0.00,1.8,8.0,14.2,2.3,0.23,9.53
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-11,0.00,0.4,6.4,12.5,0.8,0.43,7.97
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-12,0.00,-0.2,6.8,13.9,-1.3,0.76,10.33
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-13,0.00,0.0,8.3,16.5,-4.0,1.74,14.60
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-14,0.00,0.9,10.0,19.1,-3.3,2.41,17.80
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-15,0.00,-0.4,6.9,14.2,-4.0,1.92,11.88
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-16,3.37,-0.6,7.6,15.8,-5.0,1.74,13.79
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-17,13.15,0.0,5.0,10.0,-1.8,1.11,7.63
AtascosaHigh,-111.1600,31.4800,1353.0,1991-01-18,0.00,-1.2,4.7,10.5,-3.1,1.11,7.49
