Year,Month,Day,Site,NABAEnglishName,ButterflyCount,Party_Hours,#Parties
1983,7,30,AtascosaHighlandsAZ,Theona Checkerspot,19,26,4
1983,7,30,AtascosaHighlandsAZ,Arizona Skipper,46,26,4
1983,7,30,AtascosaHighlandsAZ,Valeriana Skipper,1,26,4
1983,7,30,AtascosaHighlandsAZ,Acacia Skipper,305,26,4
1983,7,30,AtascosaHighlandsAZ,Southern Dogface,14,26,4
1983,7,30,AtascosaHighlandsAZ,Orange Sulphur,1,26,4
1983,7,30,AtascosaHighlandsAZ,Orange Skipperling,11,26,4
1983,7,30,AtascosaHighlandsAZ,'Henshaw's' Nabokov's Satyr,1,26,4
1983,7,30,AtascosaHighlandsAZ,Queen,22,26,4
1983,7,30,AtascosaHighlandsAZ,Dymasia dymas chara,395,26,4
1983,7,30,AtascosaHighlandsAZ,Zela Metalmark,2,26,4
1983,7,30,AtascosaHighlandsAZ,Funereal Duskywing,1,26,4
1983,7,30,AtascosaHighlandsAZ,Mournful Duskywing,4,26,4
1983,7,30,AtascosaHighlandsAZ,Variegated Fritillary,1,26,4
1983,7,30,AtascosaHighlandsAZ,Mexican Yellow,19,26,4
1983,7,30,AtascosaHighlandsAZ,Sleepy Orange,17,26,4
1983,7,30,AtascosaHighlandsAZ,Eastern Tailed-Blue,1,26,4
1983,7,30,AtascosaHighlandsAZ,Ceraunus Blue,6,26,4
1983,7,30,AtascosaHighlandsAZ,Reakirt's Blue,9,26,4
1983,7,30,AtascosaHighlandsAZ,Pahaska Skipper,1,26,4
1983,7,30,AtascosaHighlandsAZ,Common Buckeye,13,26,4
1983,7,30,AtascosaHighlandsAZ,Tropical Buckeye (form nigrosuffusa),9,26,4
1983,7,30,AtascosaHighlandsAZ,Lyside Sulphur,11,26,4
1983,7,30,AtascosaHighlandsAZ,Marine Blue,67,26,4
1983,7,30,AtascosaHighlandsAZ,American Snout,6,26,4
1983,7,30,AtascosaHighlandsAZ,Viceroy,5,26,4
1983,7,30,AtascosaHighlandsAZ,Red-spotted Purple,4,26,4
1983,7,30,AtascosaHighlandsAZ,Red Satyr,24,26,4
1983,7,30,AtascosaHighlandsAZ,Leda Ministreak,6,26,4
1983,7,30,AtascosaHighlandsAZ,Dainty Sulphur,15,26,4
1983,7,30,AtascosaHighlandsAZ,Mourning Cloak,3,26,4
1983,7,30,AtascosaHighlandsAZ,Giant Swallowtail,5,26,4
1983,7,30,AtascosaHighlandsAZ,Two-tailed Swallowtail,49,26,4
1983,7,30,AtascosaHighlandsAZ,Cloudless Sulphur,20,26,4
1983,7,30,AtascosaHighlandsAZ,Common Sootywing,35,26,4
1983,7,30,AtascosaHighlandsAZ,Texan Crescent,8,26,4
1983,7,30,AtascosaHighlandsAZ,Cabbage White,2,26,4
1983,7,30,AtascosaHighlandsAZ,Acmon Blue,4,26,4
1983,7,30,AtascosaHighlandsAZ,Carus Skipper,6,26,4
1983,7,30,AtascosaHighlandsAZ,White Checkered-Skipper,1,26,4
1983,7,30,AtascosaHighlandsAZ,Desert Checkered-Skipper,3,26,4
1983,7,30,AtascosaHighlandsAZ,Dull Firetip,1,26,4
1983,7,30,AtascosaHighlandsAZ,Golden-headed Scallopwing,16,26,4
1983,7,30,AtascosaHighlandsAZ,Gray Hairstreak,3,26,4
1983,7,30,AtascosaHighlandsAZ,Arizona Powdered-Skipper,3,26,4
1983,7,30,AtascosaHighlandsAZ,Elada Checkerspot,44,26,4
1983,7,30,AtascosaHighlandsAZ,Drusius Cloudywing,24,26,4
1983,7,30,AtascosaHighlandsAZ,Northern Cloudywing,28,26,4
1983,7,30,AtascosaHighlandsAZ,Red Admiral,2,26,4
1983,7,30,AtascosaHighlandsAZ,Painted Lady,11,26,4
1983,7,30,AtascosaHighlandsAZ,American Lady,2,26,4
1984,8,5,AtascosaHighlandsAZ,Desert Cloudywing,1,41,5
1984,8,5,AtascosaHighlandsAZ,California Sister,7,41,5
1984,8,5,AtascosaHighlandsAZ,Gulf Fritillary,35,41,5
1984,8,5,AtascosaHighlandsAZ,Bronze Roadside-Skipper,27,41,5
1984,8,5,AtascosaHighlandsAZ,Dotted Roadside-Skipper,1,41,5
1984,8,5,AtascosaHighlandsAZ,Large Roadside-Skipper,2,41,5
1984,8,5,AtascosaHighlandsAZ,Nysa Roadside-Skipper,3,41,5
1984,8,5,AtascosaHighlandsAZ,Mormon Metalmark,1,41,5
1984,8,5,AtascosaHighlandsAZ,Palmer's Metalmark,4,41,5
1984,8,5,AtascosaHighlandsAZ,Creamy Stripe-streak,1,41,5
1984,8,5,AtascosaHighlandsAZ,Asterocampa,36,41,5
1984,8,5,AtascosaHighlandsAZ,Hackberry Emperor,7,41,5
1984,8,5,AtascosaHighlandsAZ,Empress Leilia,74,41,5
1984,8,5,AtascosaHighlandsAZ,Sachem,1,41,5
1984,8,5,AtascosaHighlandsAZ,Sheep Skipper,11,41,5
1984,8,5,AtascosaHighlandsAZ,Moon-marked Skipper,2,41,5
