Site,year,Mseason_tmean,Mseason_tmin,Mseason_tmax,Mseason_precip,previous_Mseason_precip
BoyceThompsonArboretum,2014,27.097347670250894,13.9,38.3,380.82,96.76
BoyceThompsonArboretum,2015,27.453655913978494,17.2,40.3,155.01,380.82
BoyceThompsonArboretum,2016,27.000967741935483,12.1,39.2,102.25999999999999,155.01
BoyceThompsonArboretum,2017,27.277813620071683,10.9,40.7,136.34,102.25999999999999
BoyceThompsonArboretum,2018,28.238817204301075,17.7,40.5,140.57,136.34
BoyceThompsonArboretum,2019,28.38336917562724,15.5,39.9,204.43,140.57
BoyceThompsonArboretum,2020,29.53003584229391,15,41.7,20.31,204.43
BoyceThompsonArboretum,2021,27.036451612903225,14.8,38.6,246.56,20.31
Cottonwood,1981,26.738745519713262,12.1,43.6,150.2,NA
Cottonwood,1982,26.352759856630826,6.2,41.4,130.4,150.2
Cottonwood,1983,26.2447311827957,11.8,42.1,296.55,130.4
Cottonwood,1984,26.1047311827957,11.5,42.6,173.24,296.55
Cottonwood,1985,25.411505376344085,5.9,44.6,99.75,173.24
Cottonwood,1986,24.510107526881722,7,40.5,184.07,99.75
Cottonwood,1987,25.052186379928315,8.3,40.9,105.53,184.07
Cottonwood,1988,25.443763440860213,6.5,41.4,119.47999999999999,105.53
Cottonwood,1989,26.264229390681002,7.9,43.2,113.48,119.47999999999999
Cottonwood,1990,25.511863799283155,10.2,43.3,224.4,113.48
Cottonwood,1991,26.27043010752688,10.7,41.6,90.71,224.4
Cottonwood,1992,25.217096774193546,10.2,40.3,165.26,90.71
Cottonwood,1993,25.3147311827957,8.7,42.1,135.84,165.26
Cottonwood,1994,26.89082437275986,9.2,43,110.34,135.84
Cottonwood,1995,26.706810035842295,8.9,45.4,151.57000000000002,110.34
Cottonwood,1996,26.065698924731183,8.8,42,144.26,151.57000000000002
Cottonwood,1997,26.133333333333333,11.4,43.2,141.22,144.26
Cottonwood,1998,26.1652688172043,8.7,43.3,174.5,141.22
Cottonwood,1999,25.151218637992834,9.3,40.5,248.75,174.5
Cottonwood,2000,26.433440860215054,7.7,42.5,76.16999999999999,248.75
Cottonwood,2001,26.525412186379928,11.5,42.1,113.7,76.16999999999999
Cottonwood,2002,27.09688172043011,9.3,42.8,136.45,113.7
Cottonwood,2003,27.38741935483871,11.2,44.7,85.16,136.45
Cottonwood,2004,25.67430107526882,7.5,40.8,106.15,85.16
Cottonwood,2005,26.18225806451613,9,44.1,92.15,106.15
Cottonwood,2006,25.867921146953403,7,43.7,174.82999999999998,92.15
Cottonwood,2007,26.94931899641577,8.3,43.9,111.38,174.82999999999998
Cottonwood,2008,26.475340501792115,12.2,41.6,95.91,111.38
Cottonwood,2009,26.98179211469534,10.1,42.3,70.4,95.91
Cottonwood,2010,26.670824372759856,9.6,41.3,152.35,70.4
Cottonwood,2011,27.131039426523298,11.4,42.6,134.57999999999998,152.35
Cottonwood,2012,26.524551971326165,11.1,41.4,178.65,134.57999999999998
Cottonwood,2013,25.704372759856632,5.6,42.8,230.71,178.65
Cottonwood,2014,25.794193548387096,7.8,40.4,220.99,230.71
Cottonwood,2015,26.469856630824374,12,40.3,141.98,220.99
Cottonwood,2016,25.585770609318995,7.9,41.8,171.94,141.98
Cottonwood,2017,25.890716845878135,4.5,43.1,185.7,171.94
Cottonwood,2018,26.79720430107527,12,42.7,169.24,185.7
Cottonwood,2019,27.025698924731184,8.9,41.5,102.37,169.24
Cottonwood,2020,27.803727598566308,8.6,44.5,29.39,102.37
Cottonwood,2021,26.52670250896057,11.6,42.7,216.68,29.39
GrandCanyonDesertView,1981,22.012867383512546,7.3,36.2,195.07,NA
GrandCanyonDesertView,1982,20.781326164874553,0.8,34.7,151.7,195.07
GrandCanyonDesertView,1983,21.555197132616488,5.1,36,212.39,151.7
GrandCanyonDesertView,1984,20.203333333333333,4.4,35.3,173.85,212.39
GrandCanyonDesertView,1985,20.130286738351256,-0.6,38.2,86.67,173.85
GrandCanyonDesertView,1986,19.238996415770607,-0,34.8,111.19,86.67
GrandCanyonDesertView,1987,19.881720430107528,4.4,33.9,121.22,111.19
GrandCanyonDesertView,1988,20.114050179211468,1.2,34.9,92.02,121.22
GrandCanyonDesertView,1989,20.56301075268817,1.8,38.1,91.55000000000001,92.02
GrandCanyonDesertView,1990,21.21268817204301,5.1,36.9,164.8,91.55000000000001
GrandCanyonDesertView,1991,21.621505376344086,7.7,35.5,83.52,164.8
GrandCanyonDesertView,1992,20.99200716845878,7.2,34.6,158.17,83.52
GrandCanyonDesertView,1993,21.22953405017921,3.6,36.6,84.83,158.17
GrandCanyonDesertView,1994,22.510465949820787,6,36.4,96.85,84.83
GrandCanyonDesertView,1995,22.18089605734767,2,37.5,102.57,96.85
GrandCanyonDesertView,1996,21.827491039426523,2.4,36.9,103.36,102.57
GrandCanyonDesertView,1997,21.456308243727598,5.8,36.7,179.99,103.36
GrandCanyonDesertView,1998,21.79193548387097,7.7,37.8,160.20999999999998,179.99
GrandCanyonDesertView,1999,19.946559139784945,3,36.6,218.21,160.20999999999998
GrandCanyonDesertView,2000,22.036487455197133,-0.1,36.6,74.63,218.21
GrandCanyonDesertView,2001,21.80379928315412,6.3,35.9,105.34,74.63
GrandCanyonDesertView,2002,22.15899641577061,4,38.1,101.75999999999999,105.34
GrandCanyonDesertView,2003,22.753010752688173,4.6,39.1,87.4,101.75999999999999
GrandCanyonDesertView,2004,20.556129032258063,1,34.9,179.81,87.4
GrandCanyonDesertView,2005,21.266594982078853,5.4,38.2,88.14,179.81
GrandCanyonDesertView,2006,20.48426523297491,1.1,36.8,106.95,88.14
GrandCanyonDesertView,2007,22.469283154121864,2.4,38.2,124.25999999999999,106.95
GrandCanyonDesertView,2008,21.814802867383513,7.2,35.5,112.03,124.25999999999999
GrandCanyonDesertView,2009,22.038566308243727,5.4,37.3,50.010000000000005,112.03
GrandCanyonDesertView,2010,21.934516129032257,5.9,36.3,81.78,50.010000000000005
GrandCanyonDesertView,2011,21.991290322580646,7.2,36.1,111.96,81.78
