Year,Month,Day,Site,NABAEnglishName,ButterflyCount,PartyHours,#Observers,#Parties,TotalDistanceMi
2021,7,31,Grand Canyon North Rim,Painted lady,4,126,20,4,6
2021,7,31,Grand Canyon North Rim,Pine white,5,126,20,4,6
2021,7,31,Grand Canyon North Rim,Small wood-nymph,104,126,20,4,6
2021,7,31,Grand Canyon North Rim,Spring azure,3,126,20,4,6
2021,7,31,Grand Canyon North Rim,Tailed copper,18,126,20,4,6
2021,7,31,Grand Canyon North Rim,Two-tailed swallowtail,2,126,20,4,6
2021,7,31,Grand Canyon North Rim,Weidemeyer's admiral,2,126,20,4,6
2021,7,31,Grand Canyon North Rim,West coast lady,1,126,20,4,6
2021,7,31,Grand Canyon North Rim,Western tailed blue,1,126,20,4,6
2021,7,31,Grand Canyon North Rim,Woodland skipper,17,126,20,4,6
2021,4,3,McDowell Sonoran Preserve,California patch,15,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Checkered white,2,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Empress leilia,32,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Marine blue,1,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Orange sulphur,1,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Queen,1,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Reakirt's blue,1,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Sara orangetip,2,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Sleepy orange,2,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Variable (Chalcedon) checkerspot,3,16.5,17,6,20
2021,4,3,McDowell Sonoran Preserve,Western pygmy blue,2,16.5,17,6,20
2021,9,25,McDowell Sonoran Preserve,American lady,1,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,American snout,1378,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Arizona powdered skipper,24,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,California patch,405,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Ceraunus blue,85,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Checkered white,21,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Cloudless sulphur,260,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Common buckeye,1,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Common or white checkered skipper,27,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Dainty sulphur,894,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Elada checkerspot,8,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Empress leilia,429,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Erichson's white skipper,2,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Eufala skipper,15,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Fatal metalmark,1,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Fiery skipper,19,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Funereal duskywing,65,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Gray hairstreak,74,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Great purple hairstreak,34,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Leda ministreak,3,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Marine blue,15,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Mexican yellow,32,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Mormon metalmark,23,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Northern white-skipper,3,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Orange skipperling,11,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Orange sulphur,10,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Painted lady,17,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Palmer’s metalmark,1,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Pipevine swallowtail,344,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Queen,81,28.5,28,6,20
2021,9,25,McDowell Sonoran Preserve,Reakirt's blue,2,28.5,28,6,20
