site,lat,long,urb16_1mi,urb16_5mi,urb16_25mi,urb92_1mi,urb92_5mi,urb92_25mi,crop08_1mi,crop08_5mi,crop08_25mi,crop19_1mi,crop19_5mi,crop19_25mi,crop_1mi,crop_5mi,crop_25mi,urb_1mi,urb_5mi,urb_25mi,urb25PerYear,crop25PerYear
NaturalCorralPreserveWY,44.75,-109.38,0.033197,0.00729,0.009884,0,0.000004,0.001864,0,0.031338,0.00088,0.000091,0.00183,0.035005,0.000091,-0.029508,0.034125,0.031333,0.007286,0.00802,0.000334167,0.003102273
SanpeteCountyUT,39.25,-111.55,0.030567,0.036957,0.025058,0.000091,0.012383,0.005441,0,0.070944,0.049967,0,0.056377,0.083893,0,-0.014567,0.033926,0.025126,0.024574,0.019617,0.000817375,0.003084182
TenmileCreekMT,46.56,-112.32,0.021043,0.004228,0.021133,0.004807,0.001274,0.009672,0,0.025378,0.001105,0.001814,0.001383,0.032406,0.001814,-0.023994,0.031301,0.011371,0.002954,0.011461,0.000477542,0.002845545
BorregoSpringsCA,33.25,-116.37,0.34712,0.07259,0.033808,0.358458,0.035295,0.006254,0.002358,0.035847,0.001408,0.017143,0.031782,0.031225,0.014785,-0.004065,0.029817,0.340866,0.037295,0.027554,0.001148083,0.002710636
RubyCreekValleyMT,45.08,-112.07,0.019592,0.0059,0.007134,0,0,0.00137,0.031293,0.03178,0.006776,0.035918,0.008212,0.036115,0.004626,-0.023568,0.029339,0.018222,0.0059,0.005764,0.000240167,0.002667182
CascadeSiskiyouNationalMonument,42.123,-122.4644,0.042358,0.012816,0.043714,0.013968,0.001165,0.016213,0.001723,0.027007,0.00095,0,0.000285,0.029282,-0.001723,-0.026722,0.028332,0.026145,0.011651,0.027501,0.001145875,0.002575636
GilpinCounty(uppercircle)COsplit,39.97,-105.5,0.236553,0.028762,0.125709,0.176054,0.032317,0.091643,0.000272,0.040462,0.000482,0,0.00006,0.028639,-0.000272,-0.040402,0.028157,0.14491,-0.003555,0.034066,0.001419417,0.002559727
AnzaBorregoDesertStateParkCA,33.27,-116.42,0.015601,0.057658,0.035717,0,0.030086,0.00701,0,0.035537,0.0015,0.007438,0.040329,0.029326,0.007438,0.004792,0.027827,0.008591,0.027572,0.028707,0.001196125,0.002529727
SantaMonicaMountainsCA,34.58,-118.7,0.0839,0.018783,0.114422,0.033469,0.006494,0.051142,0.000091,0.017506,0.000285,0,0.00006,0.025418,-0.000091,-0.017446,0.025132,0.032758,0.012289,0.06328,0.002636667,0.002284727
SequoiaNationalForestSouth,35.5333,-118.4833,0.009161,0.031202,0.017345,0,0.009627,0.003092,0,0.020009,0.00007,0.000091,0.000106,0.025141,0.000091,-0.019903,0.025071,0.006069,0.021575,0.014253,0.000593875,0.002279182
MetoliusOR,44.4733,-121.64,0.012426,0.010982,0.024432,0.001088,0.000655,0.006082,0.000091,0.03421,0.000278,0,0.000106,0.023124,-0.000091,-0.034105,0.022846,0.006344,0.010327,0.01835,0.000764583,0.002076909
LittlePendOreilleNationalWildlifeRefuge,48.5018,-117.6581,0.027211,0.007044,0.015044,0.001723,0.002158,0.009164,0.000091,0.026699,0.007772,0.000816,0.005055,0.030292,0.000726,-0.021644,0.02252,0.018047,0.004886,0.00588,0.000245,0.002047273
PointReyesCA,38.0833,-122.8667,0.039546,0.026967,0.08097,0.01805,0.006868,0.060367,0.000454,0.02819,0.000685,0.000272,0.003573,0.023005,-0.000182,-0.024617,0.02232,-0.020821,0.020099,0.020603,0.000858458,0.002029091
KernRiverValleyCA,35.73,-118.53,0.049161,0.029607,0.01422,0.002086,0.012373,0.002338,0,0.01867,0.000004,0.000091,0.000158,0.021958,0.000091,-0.018512,0.021955,0.046823,0.017234,0.011882,0.000495083,0.001995909
ONeillRegionalParkCA,33.72,-117.58,0.027211,0.128629,0.442954,0,0.050878,0.285272,0,0.013295,0.000264,0,0.000257,0.021817,0,-0.013038,0.021553,-0.258061,0.077751,0.157682,0.006570083,0.001959364
GospelHumpID,45.6167,-115.983,0,0,0.003968,0,0,0.001244,0,0.021658,0.000004,0.000091,0.000039,0.02032,0.000091,-0.021619,0.020317,-0.001244,0,0.002724,0.0001135,0.001847
AlbuquerqueNM,35.13,-106.43,0,0.193637,0.113818,0,0.142469,0.064321,0,0.014146,0.000366,0.000635,0.000363,0.020549,0.000635,-0.013784,0.020183,-0.064321,0.051168,0.049497,0.002062375,0.001834818
LincolnCaneRidgeWestMT,46.97,-112.57,0.025306,0.005079,0.00744,0,0.002436,0.001432,0.000272,0.015168,0.002126,0.001451,0.007653,0.022227,0.001179,-0.007515,0.020101,0.023874,0.002643,0.006008,0.000250333,0.001827364
SiskiyouCrest,42.0506,-122.8064,0.068118,0.070242,0.060253,0,0.000004,0.017756,0,0.012663,0.000042,0.000816,0.002221,0.019803,0.000816,-0.010441,0.019761,0.050362,0.070238,0.042497,0.001770708,0.001796455
PortalAZ,31.85,-109.1667,0,0.006737,0.004984,0,0.001936,0.000764,0,0.036556,0.000218,0.000091,0.000408,0.019897,0.000091,-0.036147,0.019679,-0.000764,0.004801,0.00422,0.000175833,0.001789
SantaYnezCanyon,34.0896,-118.6044,0.206168,0.256149,0.355888,0.264036,0.181056,0.288453,0,0.010781,0.000249,0.000181,0.000123,0.019683,0.000181,-0.010657,0.019434,-0.082285,0.075093,0.067435,0.002809792,0.001766727
SnowyRangeAlbanyCountyWY,45.37,-106.25,0,0.003256,0.003446,0,0,0.000911,0.001088,0.023915,0.012317,0.001088,0.014612,0.031357,0,-0.009304,0.01904,-0.000911,0.003256,0.002535,0.000105625,0.001730909
BerkeleyCA,37.872,-122.2577,0.840181,0.508073,0.275677,0.823764,0.477945,0.222221,0,0.026407,0.000235,0.007347,0.001387,0.018968,0.007347,-0.02502,0.018733,0.61796,0.030128,0.053456,0.002227333,0.001703
BoyceThompsonArboretum,33.295,-111.0946,0.205624,0.021483,0.021916,0.237551,0.012105,0.007989,0.000363,0.017923,0.00007,0.000091,0.000106,0.01874,-0.000272,-0.017817,0.018669,0.197635,0.009378,0.013927,0.000580292,0.001697182
SandiaMountainsNM,35.2,-106.43,0.032381,0.081742,0.110369,0.000635,0.049664,0.061044,0,0.013125,0.000359,0.001633,0.00031,0.018538,0.001633,-0.012815,0.018179,-0.028663,0.032078,0.049325,0.002055208,0.001652636
MarinCo,37.9663,-122.5655,0.693061,0.347803,0.174025,0.731701,0.329893,0.143608,0.000091,0.039058,0.014452,0.001088,0.010166,0.030954,0.000998,-0.028892,0.016502,0.549453,0.01791,0.030417,0.001267375,0.001500182
RoxboroughParkCO,39.43,-105.07,0.060952,0.05939,0.207205,0.000726,0.019427,0.131945,0.002086,0.028382,0.011014,0.001088,0.002091,0.027104,-0.000998,-0.026291,0.01609,-0.070993,0.039963,0.07526,0.003135833,0.001462727
RioArribaCountyNM,36.67,-106.25,0,0.005153,0.005467,0,0.000028,0.001399,0.00127,0.010433,0.002077,0.001451,0.002327,0.01731,0.000181,-0.008106,0.015234,-0.001399,0.005125,0.004068,0.0001695,0.001384909
KeblerPassEricksonSpringsCO,38.88,-107.21,0.009161,0.0056,0.010812,0,0,0.003671,0,0.009997,0.000426,0.000181,0.000447,0.01545,0.000181,-0.00955,0.015024,0.00549,0.0056,0.007141,0.000297542,0.001365818
EscalanteDesert,38.2,-113.25,0.013424,0.01106,0.010151,0,0.000004,0.001269,0,0.01747,0.000042,0,0.00019,0.014217,0,-0.01728,0.014174,0.012155,0.011056,0.008882,0.000370083,0.001288545
PaoniaReservoirGunnisonCountyCO,39.95,-107.35,0,0,0.004769,0,0,0.000528,0,0.01548,0.000007,0,0.000025,0.0138,0,-0.015456,0.013793,-0.000528,0,0.004241,0.000176708,0.001253909
CastleRocksStatePark,42.0594,-113.6803,0.003084,0.012862,0.009122,0,0.000292,0.000745,0.000091,0.098964,0.087624,0.000998,0.093956,0.101061,0.000907,-0.005008,0.013437,0.002339,0.01257,0.008377,0.000349042,0.001221545
GoodingCityofRocksNationalReserve,42.0594,-113.6803,0.003084,0.012862,0.009122,0,0.000292,0.000745,0.000091,0.098964,0.087624,0.000998,0.093956,0.101061,0.000907,-0.005008,0.013437,0.002339,0.01257,0.008377,0.000349042,0.001221545
MountPinosCA,34.17,-119.02,0.103583,0.261721,0.11354,0.017778,0.125837,0.068367,0.034467,0.081853,0.023873,0.016871,0.07907,0.036888,-0.017596,-0.002783,0.013015,0.035216,0.135884,0.045173,0.001882208,0.001183182
McDowellSonoranPreserve,33.7041,-111.7791,0,0.112236,0.265953,0,0.007308,0.154937,0,0.017107,0.002401,0,0.00315,0.014043,0,-0.013956,0.011642,-0.154937,0.104928,0.111016,0.004625667,0.001058364
AshlandOR,42.13,-122.6,0.035193,0.05298,0.052462,0.002177,0.02238,0.018119,0.017687,0.012576,0.005393,0.011973,0.004942,0.016452,-0.005714,-0.007634,0.011059,0.017074,0.0306,0.034343,0.001430958,0.001005364
RedCanyon,42.65,-108.75,0,0.001419,0.006889,0,0,0.001684,0.005261,0.015607,0.00396,0.005624,0.004171,0.014879,0.000363,-0.011435,0.010919,-0.001684,0.001419,0.005205,0.000216875,0.000992636
RockyMountainNationalParkCO,40.35,-105.62,0,0.027734,0.027994,0.005442,0.027161,0.017363,0.001633,0.018364,0.000197,0.000091,0.000123,0.010828,-0.001542,-0.01824,0.010631,-0.017363,0.000573,0.010631,0.000442958,0.000966455
WhiteMountains,37.582,-118.2478,0,0.000039,0.009437,0,0,0.003043,0,0.003394,0.000028,0.000454,0.00012,0.010512,0.000454,-0.003274,0.010484,-0.003043,0.000039,0.006394,0.000266417,0.000953091
LostCreekGrandTetonNationalParkWY,43.75,-110.6,0.029025,0.007399,0.008125,0.012698,0.00207,0.002832,0.000272,0.016601,0.000549,0.000091,0.000169,0.010881,-0.000181,-0.016432,0.010332,0.026193,0.005329,0.005293,0.000220542,0.000939273
SugariteCanyonNMLakeDorotheyCO,37,-104.35,0,0.002756,0.00957,0,0.00018,0.004202,0.001361,0.008915,0.001535,0.000726,0.001739,0.011627,-0.000635,-0.007176,0.010092,-0.004202,0.002576,0.005368,0.000223667,0.000917455
YubaPassCA,39.6619,-120.5519,0,0.022595,0.016189,0,0.000004,0.00341,0,0.006266,0.001989,0,0.000873,0.011925,0,-0.005393,0.009936,-0.00341,0.022591,0.012779,0.000532458,0.000903273
RattlesnakeSpringNM,32.1,-104.47,0,0.00585,0.016962,0.003719,0.001577,0.006072,0.130068,0.018193,0.006174,0.120726,0.005914,0.016088,-0.009342,-0.012279,0.009914,-0.006072,0.004273,0.01089,0.00045375,0.000901273
BigBearCA,34.2432,-116.8249,0.432834,0.153058,0.103653,0.293605,0.062037,0.066839,0.000272,0.007075,0.000134,0.000816,0.000275,0.009752,0.000544,-0.006801,0.009618,0.365995,0.091021,0.036814,0.001533917,0.000874364
SouthLakeTahoe,38.8468,-120.041,0.152472,0.085811,0.033642,0.102222,0.070819,0.019575,0,0.006344,0.00006,0,0.000405,0.009016,0,-0.005939,0.008956,0.132897,0.014992,0.014067,0.000586125,0.000814182
